Student_ID,Education_Level,Gender,Age,Location,Category,Institute_Type,Medium,Monthly_Income_INR,Father_Education,Mother_Education,Internet_Access,Smartphone_Available,Laptop_Available,Tuition_Classes,Scholarship,Family_Size,Distance_To_Institute_KM,Study_Hours_Per_Day,Attendance_Percentage,Sleep_Hours,Stress_Level,Previous_Percentage,Final_Percentage
1,College,Female,19,Rural,General,Government,Hindi,93105,Postgraduate,12th,Yes,Yes,Yes,Yes,No,8,13.5,4.6,62.6,6.3,Medium,98.0,57.8
2,College,Male,23,Urban,General,Government,English,19792,12th,12th,No,Yes,Yes,Yes,Yes,3,15.1,2.6,70.0,5.4,Medium,85.1,32.4
3,College,Female,17,Urban,General,Government,Hindi,15315,12th,Graduate,Yes,Yes,No,Yes,No,8,5.1,1.3,71.2,8.4,Low,71.9,30.5
4,College,Female,17,Urban,SC,Government,English,81004,10th,12th,Yes,Yes,No,No,No,8,9.1,3.9,77.0,5.6,Low,92.4,51.3
5,College,Male,19,Rural,ST,Government,Hindi,31970,10th,Postgraduate,No,Yes,Yes,Yes,No,3,10.1,4.6,76.4,8.2,Medium,95.1,38.1
6,College,Female,18,Rural,General,Government,Hindi,43422,Postgraduate,Graduate,Yes,Yes,Yes,Yes,No,5,6.7,1.4,85.0,4.9,Medium,88.9,40.5
7,College,Male,24,Urban,General,Private,Hindi,23462,10th,12th,Yes,Yes,No,Yes,Yes,5,16.6,4.6,66.9,8.1,Low,76.0,42.1
8,College,Male,17,Rural,General,Government,Hindi,11358,12th,Graduate,Yes,Yes,No,Yes,No,4,15.2,4.5,86.5,7.7,Medium,87.1,35.1
9,College,Male,23,Urban,SC,Private,English,15079,Graduate,Postgraduate,Yes,Yes,Yes,Yes,Yes,7,7.3,2.4,59.7,6.9,Low,75.9,30.0
10,College,Female,17,Urban,General,Private,Hindi,17590,10th,12th,Yes,Yes,No,No,No,3,19.5,3.3,80.0,6.9,Low,76.5,32.1
11,College,Male,22,Urban,OBC,Private,English,80197,10th,10th,Yes,Yes,No,Yes,No,7,9.1,4.4,91.3,7.2,Low,84.8,50.7
12,College,Male,23,Rural,General,Government,English,25603,Graduate,Graduate,Yes,Yes,No,Yes,No,4,2.9,1.5,99.9,8.9,Low,68.0,33.1
13,College,Female,21,Rural,OBC,Private,English,18241,10th,12th,Yes,Yes,No,No,No,8,8.6,2.5,65.2,8.6,Medium,73.3,30.0
14,College,Female,24,Urban,OBC,Government,English,17350,10th,10th,No,Yes,No,No,No,5,18.8,1.0,46.7,7.4,Medium,58.7,30.0
15,College,Male,21,Rural,OBC,Private,Hindi,17060,Postgraduate,No School,Yes,Yes,No,No,No,5,14.5,2.7,45.0,7.4,Low,67.5,30.0
16,College,Male,17,Urban,OBC,Private,English,56867,10th,12th,Yes,Yes,No,No,No,3,17.3,2.7,64.5,8.2,Medium,91.1,48.8
17,College,Male,19,Rural,SC,Private,English,8767,Graduate,12th,No,Yes,No,No,No,4,17.3,1.1,72.6,8.2,Low,83.0,31.5
18,College,Male,23,Rural,OBC,Government,Hindi,10659,Graduate,No School,Yes,Yes,No,Yes,No,4,7.6,3.0,75.2,8.3,Medium,73.7,33.1
19,College,Male,19,Rural,General,Government,Hindi,24858,No School,12th,No,Yes,No,No,No,4,1.9,0.8,71.6,7.2,Medium,68.7,30.0
20,College,Female,20,Rural,SC,Government,Hindi,42303,Graduate,10th,Yes,Yes,No,No,No,7,0.7,4.4,88.1,8.4,Low,90.1,40.2
21,College,Male,22,Rural,OBC,Private,English,63405,10th,Graduate,Yes,Yes,Yes,Yes,No,7,3.7,3.0,75.5,8.3,Low,92.2,48.2
22,College,Male,20,Rural,General,Government,Hindi,67086,12th,Graduate,No,Yes,No,No,No,8,9.9,5.7,86.5,4.6,Medium,98.0,50.0
23,College,Female,20,Urban,General,Private,Hindi,87288,12th,10th,Yes,Yes,No,Yes,No,3,13.8,1.7,69.1,6.1,Low,80.7,44.5
24,College,Female,22,Rural,General,Government,Hindi,49282,Graduate,Graduate,No,Yes,No,No,Yes,3,14.5,3.9,80.4,8.6,Low,98.0,40.3
25,College,Male,18,Rural,ST,Private,Hindi,46341,12th,Postgraduate,Yes,Yes,No,Yes,No,5,14.7,3.7,78.2,9.0,Low,89.9,41.5
26,College,Male,20,Urban,General,Private,Hindi,7811,No School,12th,Yes,Yes,Yes,Yes,Yes,5,16.2,2.6,52.2,5.7,High,69.7,35.2
27,College,Male,24,Rural,General,Private,Hindi,5687,10th,No School,Yes,No,Yes,Yes,No,7,19.7,3.4,67.1,7.5,Low,78.3,31.8
28,College,Female,21,Urban,General,Private,Hindi,9457,12th,Graduate,Yes,Yes,Yes,Yes,No,5,7.8,4.5,74.5,8.1,Medium,79.3,36.4
29,College,Male,21,Urban,OBC,Private,English,70262,10th,12th,No,Yes,Yes,Yes,No,6,7.0,5.1,89.1,7.7,Medium,88.5,43.3
30,College,Female,22,Urban,SC,Private,Hindi,20657,10th,10th,No,Yes,Yes,No,No,7,5.0,2.7,77.9,8.1,Medium,81.0,37.5
31,College,Female,24,Urban,OBC,Government,Hindi,32344,12th,10th,Yes,Yes,No,Yes,No,4,7.7,5.2,69.5,7.3,Low,90.2,38.1
32,College,Female,24,Rural,General,Government,Hindi,23634,Graduate,12th,Yes,Yes,No,Yes,No,5,12.6,4.5,71.2,8.8,Low,90.1,37.6
33,College,Male,21,Urban,General,Private,Hindi,51733,Postgraduate,10th,Yes,Yes,No,Yes,Yes,7,18.5,5.7,77.6,7.5,Medium,86.6,53.6
34,College,Female,23,Urban,OBC,Private,Hindi,26813,12th,Graduate,Yes,Yes,Yes,Yes,Yes,7,19.1,3.9,61.4,8.6,Medium,84.7,38.7
35,College,Male,22,Urban,OBC,Government,English,10050,10th,Graduate,No,Yes,No,No,No,6,1.5,3.6,88.8,7.3,Low,88.9,30.0
36,College,Female,18,Rural,General,Government,English,9597,No School,Graduate,Yes,Yes,No,Yes,No,3,4.7,1.1,77.5,4.6,Low,79.9,30.0
37,College,Male,24,Rural,OBC,Government,English,18993,10th,No School,Yes,Yes,No,Yes,No,7,4.1,4.8,76.0,7.9,Low,89.6,41.4
38,College,Male,17,Rural,SC,Government,Hindi,93922,No School,10th,Yes,Yes,Yes,Yes,Yes,3,3.6,3.8,91.9,6.3,Low,92.1,53.2
39,College,Male,20,Urban,General,Government,Hindi,12592,No School,10th,Yes,Yes,No,Yes,No,4,4.2,5.1,95.3,4.6,Medium,98.0,40.9
40,College,Male,18,Rural,General,Private,Hindi,89751,12th,Graduate,Yes,Yes,No,Yes,No,4,11.4,2.9,73.7,4.8,Low,90.4,43.2
41,College,Male,24,Rural,General,Government,Hindi,50152,Postgraduate,Graduate,Yes,Yes,Yes,No,Yes,7,19.7,4.0,67.1,7.0,Low,89.5,45.7
42,College,Female,24,Urban,OBC,Government,Hindi,28160,12th,10th,Yes,Yes,Yes,No,No,4,6.6,5.3,86.5,7.4,Medium,86.4,45.2
43,College,Female,24,Rural,General,Private,Hindi,8600,Postgraduate,10th,Yes,No,Yes,No,No,5,13.1,0.9,67.8,4.9,Low,62.3,30.0
44,College,Female,17,Urban,SC,Government,Hindi,43219,No School,12th,Yes,Yes,No,Yes,No,6,8.5,4.8,75.3,7.3,Medium,98.0,40.2
45,College,Male,22,Rural,General,Government,Hindi,20938,No School,No School,Yes,Yes,No,Yes,Yes,5,8.6,5.9,72.3,8.6,Low,98.0,43.1
46,College,Female,24,Urban,SC,Government,Hindi,16349,Postgraduate,12th,No,Yes,Yes,Yes,No,7,8.9,2.6,81.4,5.5,Low,90.6,31.2
47,College,Male,21,Urban,General,Private,English,49763,Graduate,Postgraduate,Yes,Yes,No,No,Yes,3,4.2,7.4,78.9,4.6,High,98.0,50.1
48,College,Female,17,Rural,OBC,Government,Hindi,84032,12th,Graduate,Yes,Yes,No,No,Yes,5,9.6,2.7,74.3,4.7,Low,88.8,44.5
49,College,Male,18,Rural,OBC,Government,Hindi,19896,10th,12th,Yes,Yes,No,No,No,8,9.4,3.9,86.6,8.1,Low,93.2,41.7
50,College,Female,22,Rural,OBC,Government,English,5824,10th,Postgraduate,Yes,Yes,Yes,No,Yes,7,16.7,2.2,72.2,4.9,Medium,78.3,30.3
51,College,Male,24,Urban,OBC,Private,English,10117,No School,10th,Yes,Yes,No,No,No,3,10.2,6.1,84.4,8.2,High,98.0,43.6
52,College,Male,21,Rural,General,Private,Hindi,8080,12th,10th,Yes,Yes,Yes,No,No,8,17.6,6.1,65.9,8.1,Medium,81.9,32.5
53,College,Female,24,Rural,General,Government,Hindi,30710,Graduate,10th,Yes,Yes,Yes,No,Yes,7,18.8,3.5,65.0,7.5,Medium,92.3,46.8
54,College,Female,24,Urban,General,Government,Hindi,10428,10th,12th,No,Yes,Yes,No,Yes,4,9.8,3.6,85.3,6.1,Low,72.1,30.3
55,College,Female,20,Urban,SC,Private,Hindi,19512,Graduate,10th,Yes,Yes,Yes,Yes,No,7,13.5,4.1,54.4,6.9,Low,82.2,39.7
56,College,Male,20,Urban,ST,Private,English,5376,Postgraduate,10th,Yes,Yes,Yes,No,Yes,8,5.1,2.3,71.9,5.0,Medium,79.8,32.3
