Student_ID,Name,Branch,Current_Year,Family_Income,Parent_Education,Resources_Access,Community_Involvement,Study_Hours_Week,Attendance_Rate,Stress_Level,Health_Status,CGPA,Performance_Category,Sem_1_GPA,Sem_2_GPA,Sem_3_GPA,Sem_4_GPA,Sem_5_GPA,Sem_6_GPA,Sem_7_GPA,Sem_8_GPA
STU_1000,Student_1,Information Technology,3,Middle,Bachelor,Yes,Low,33,67,Moderate,Average,9.29,Excellent,8.52,8.93,9.73,10.0,,,,
STU_1001,Student_2,Computer Science,3,Low,Bachelor,No,Low,26,90,Low,Poor,7.31,Good,6.86,7.94,7.66,6.78,,,,
STU_1002,Student_3,Civil,2,Low,PhD,No,High,39,90,Moderate,Average,8.71,Excellent,9.0,8.42,,,,,,
STU_1003,Student_4,Electronics,1,Low,Bachelor,No,Low,37,79,Low,Poor,10.0,Excellent,10.0,,,,,,,
STU_1004,Student_5,Information Technology,3,High,High School,Yes,Low,23,97,Low,Good,10.0,Excellent,10.0,10.0,10.0,10.0,,,,
STU_1005,Student_6,Electronics,3,Middle,High School,Yes,Low,6,94,High,Good,4.3,Low/At-Risk,4.16,4.4,4.52,4.14,,,,
STU_1006,Student_7,Electronics,4,Low,Master,Yes,High,22,78,Moderate,Average,9.23,Excellent,9.73,8.93,9.58,7.78,9.99,9.38,,
STU_1007,Student_8,Computer Science,1,Low,PhD,Yes,High,19,68,High,Poor,5.63,Average,5.63,,,,,,,
STU_1008,Student_9,Electronics,4,Low,PhD,No,Low,19,65,Low,Poor,6.46,Average,7.17,6.46,5.95,6.46,6.21,6.5,,
STU_1009,Student_10,Computer Science,3,Middle,High School,No,Low,14,86,Low,Good,6.53,Average,6.98,5.99,6.45,6.68,,,,
STU_1010,Student_11,Electronics,4,High,High School,Yes,Moderate,5,78,High,Average,5.4,Average,5.77,5.16,5.43,5.05,5.58,5.4,,
STU_1011,Student_12,Electronics,2,Low,Bachelor,No,Low,37,99,High,Good,7.81,Good,8.33,7.3,,,,,,
STU_1012,Student_13,Civil,2,Low,Master,Yes,Moderate,28,96,High,Good,4.47,Low/At-Risk,4.64,4.31,,,,,,
STU_1013,Student_14,Mechanical,4,High,Master,No,Low,6,99,Moderate,Average,8.46,Good,8.29,7.89,8.53,7.91,9.07,9.09,,
STU_1014,Student_15,Computer Science,3,Middle,High School,No,Moderate,19,82,Moderate,Average,8.48,Good,9.26,8.31,8.45,7.89,,,,
STU_1015,Student_16,Information Technology,4,Low,Bachelor,Yes,High,18,85,Low,Good,7.0,Good,6.57,6.55,7.8,7.54,6.6,6.97,,
STU_1016,Student_17,Mechanical,4,Low,High School,Yes,High,21,71,Low,Average,8.86,Excellent,8.05,10.0,8.91,8.15,9.27,8.76,,
STU_1017,Student_18,Computer Science,1,High,Bachelor,Yes,Moderate,11,73,High,Good,5.99,Average,5.99,,,,,,,
STU_1018,Student_19,Civil,4,Middle,Master,No,Low,36,71,Low,Poor,6.65,Average,7.13,6.19,6.08,6.4,6.54,7.57,,
STU_1019,Student_20,Mechanical,1,Low,PhD,Yes,High,12,75,High,Poor,4.0,Low/At-Risk,4.0,,,,,,,
STU_1020,Student_21,Information Technology,4,Low,Bachelor,No,Low,37,75,Moderate,Average,8.01,Good,8.34,8.0,8.46,7.89,7.47,7.87,,
STU_1021,Student_22,Civil,1,High,Master,No,Moderate,22,77,Moderate,Good,8.65,Excellent,8.65,,,,,,,
STU_1022,Student_23,Civil,2,Middle,Master,No,High,28,92,Low,Poor,9.7,Excellent,10.0,9.39,,,,,,
STU_1023,Student_24,Electronics,2,Middle,Master,Yes,High,32,61,Low,Poor,7.98,Good,8.41,7.56,,,,,,
