Student_ID	Education_Level		Age	Location	Category	Institute_Type	Medium	Monthly_Income_INR	Father_Education	Mother_Education	Internet_Access	Tuition_Classes	Scholarship	Family_Size	Distance_To_Institute_KM	Study_Hours_Per_Day	Attendance_Percentage	Sleep_Hours	Stress_Level	Previous_Percentage	Final_Percentage
1	School	Male	17	Rural	SC	Government	Hindi	11616	Postgraduate	No School	Yes	No	Yes	6	6.8	2.8	73.2	8	Medium	69.4	45
2	School	Female	15	Rural	OBC	Government	Hindi	74757	Graduate	10th	Yes	Yes	No	5	6.5	3.8	79.8	5.1	Low	83.7	62.7
3	School	Male	15	Rural	General	Private	English	13703	No School	10th	No	Yes	No	7	15	1.3	71.4	5.8	Low	83.2	46.9
4	School	Male	14	Urban	OBC	Government	Hindi	32694	10th	Graduate	Yes	Yes	Yes	3	8.2	1.3	71.2	7.2	Low	58.2	45.5
5	School	Female	16	Rural	OBC	Government	Hindi	61154	10th	Graduate	No	Yes	No	6	10.4	6.4	85.5	5.7	Medium	98	79.2
6	School	Female	16	Rural	OBC	Government	Hindi	26266	12th	No School	Yes	Yes	No	6	2.8	3.3	94.8	8.5	Low	86.7	64.2
7	School	Male	17	Rural	General	Government	Hindi	17383	10th	10th	Yes	Yes	No	3	6.2	3.3	79.2	7.7	Low	82.2	54.3
8	School	Female	18	Urban	ST	Government	English	96795	12th	12th	No	No	No	4	5.5	4.5	77.4	8.1	Low	98	54.7
9	School	Female	17	Rural	OBC	Government	English	9355	10th	10th	Yes	Yes	No	5	12	3.1	78.8	7.8	Low	72.6	49.7
10	School	Male	15	Rural	OBC	Private	Hindi	9159	No School	Graduate	Yes	No	Yes	7	3.7	3.9	92.8	5.4	Medium	93.5	61.1
11	School	Female	16	Rural	General	Private	Hindi	57641	Postgraduate	Graduate	Yes	Yes	Yes	5	2.3	3.3	87.4	5.9	Low	81.7	67.5
12	School	Male	17	Rural	OBC	Private	Hindi	9663	10th	No School	Yes	Yes	Yes	3	4.1	2	74	6.1	Low	75.5	44.4
13	School	Male	17	Rural	General	Government	Hindi	39226	Graduate	Graduate	Yes	Yes	Yes	7	9.2	4.2	82.9	5.1	Low	93.2	73.3
14	School	Female	17	Urban	ST	Government	Hindi	75980	Graduate	Graduate	Yes	No	No	5	7.7	3.9	78.2	8.6	Low	80.9	65.5
